Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary
E.T. the Extra-Terrestrial,(1982),115,"['Adventure', 'Family', 'Sci-Fi']",7.9,792910554,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Mission: Impossible - Fallout,(2018),147,"['Action', 'Adventure', 'Thriller']",7.7,791657398,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

2012,(I) (2009),158,"['Action', 'Adventure', 'Sci-Fi']",5.8,791217826,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Indiana Jones and the Kingdom of the Crystal Skull,(2008),122,"['Action', 'Adventure']",6.2,790653942,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Spider-Man 2,(2004),127,"['Action', 'Adventure', 'Sci-Fi']",7.4,788976453,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Furious 6,(2013),130,"['Action', 'Adventure', 'Crime']",7,788680968,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0

Deadpool 2,(2018),119,"['Action', 'Adventure', 'Comedy']",7.6,785896609,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Deadpool,(2016),108,"['Action', 'Comedy']",8,782836791,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Star Wars,(1977),121,"['Action', 'Adventure', 'Fantasy']",8.6,775398007,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

No Time to Die,(2021),163,"['Action', 'Adventure', 'Thriller']",7.3,774153007,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Interstellar,(2014),169,"['Adventure', 'Drama', 'Sci-Fi']",8.6,773867216,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Guardians of the Galaxy,(2014),121,"['Action', 'Adventure', 'Comedy']",8,773350147,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Batman,(2022),176,"['Action', 'Crime', 'Drama']",7.8,770945583,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0

Thor: Love and Thunder,(2022),118,"['Action', 'Adventure', 'Comedy']",6.2,760928081,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Fast & Furious Presents: Hobbs & Shaw,(2019),137,"['Action', 'Adventure', 'Thriller']",6.5,760732926,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

The Da Vinci Code,(2006),149,"['Mystery', 'Thriller']",6.6,760006945,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0

Maleficent,(2014),97,"['Adventure', 'Family', 'Fantasy']",6.9,758411779,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

The Amazing Spider-Man,(2012),136,"['Action', 'Adventure', 'Sci-Fi']",6.9,757930663,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Hunger Games: Mockingjay - Part 1,(2014),123,"['Action', 'Adventure', 'Sci-Fi']",6.6,755356711,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Shrek Forever After,(2010),95,"['Animation', 'Adventure', 'Comedy']",6.3,752600867,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Gravity,(2013),91,"['Drama', 'Sci-Fi', 'Thriller']",7.7,748049949,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Madagascar 3: Europe's Most Wanted,(2012),95,"['Animation', 'Adventure', 'Comedy']",6.8,746921274,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Suicide Squad,(2016),123,"['Action', 'Adventure', 'Fantasy']",5.9,746846894,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

X-Men: Days of Future Past,(2014),132,"['Action', 'Adventure', 'Sci-Fi']",7.9,746045700,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",(2005),143,"['Adventure', 'Family', 'Fantasy']",6.9,745013115,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Monsters University,(2013),104,"['Animation', 'Adventure', 'Comedy']",7.2,743559645,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Matrix Reloaded,(2003),138,"['Action', 'Sci-Fi']",7.2,741847937,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Up,(2009),96,"['Animation', 'Adventure', 'Comedy']",8.3,735099102,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Ne Zha zhi mo tong jiang shi,(2019),110,"['Animation', 'Action', 'Adventure']",7.4,726264074,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

F9,(2021),143,"['Action', 'Crime', 'Thriller']",5.2,726229501,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0

Captain America: The Winter Soldier,(2014),136,"['Action', 'Adventure', 'Sci-Fi']",7.8,714421503,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

