Title,Year,Runtime,Genre,IMDB Rating,Grosses
Charlie and the Chocolate Factory,(2005),115,"['Adventure', 'Comedy', 'Family']",6.7,474968763

Indiana Jones and the Last Crusade,(1989),127,"['Action', 'Adventure']",8.2,474171806

San Andreas,(2015),114,"['Action', 'Adventure', 'Thriller']",6.1,474009154

It Chapter Two,(2019),169,"['Drama', 'Fantasy', 'Horror']",6.5,473122525

La La Land,(2016),128,"['Comedy', 'Drama', 'Music']",8,472013241

Wreck-It Ralph,(2012),101,"['Animation', 'Adventure', 'Comedy']",7.7,471222889

Godzilla vs. Kong,(2021),113,"['Action', 'Sci-Fi', 'Thriller']",6.3,470116094

The Hangover,(2009),100,['Comedy'],7.7,469328079

Lucy,(I) (2014),89,"['Action', 'Sci-Fi', 'Thriller']",6.4,469058574

The Lego Movie,(2014),100,"['Animation', 'Action', 'Adventure']",7.7,468266122

Bumblebee,(I) (2018),114,"['Action', 'Adventure', 'Sci-Fi']",6.7,467989645

Star Trek Into Darkness,(2013),132,"['Action', 'Adventure', 'Sci-Fi']",7.7,467365246

The Matrix,(1999),136,"['Action', 'Sci-Fi']",8.7,467222728

Pretty Woman,(1990),119,"['Comedy', 'Romance']",7.1,463406268

Cars,(2006),117,"['Animation', 'Adventure', 'Comedy']",7.2,461991867

Ba bai,(2020),149,"['Action', 'Drama', 'History']",6.7,461421559

X-Men: The Last Stand,(2006),104,"['Action', 'Adventure', 'Sci-Fi']",6.6,460435291

Du xing yue qiu,(2022),122,"['Comedy', 'Sci-Fi']",6.4,460237662

National Treasure: Book of Secrets,(2007),124,"['Action', 'Adventure', 'Mystery']",6.5,459242249

Mission: Impossible,(1996),110,"['Action', 'Adventure', 'Thriller']",7.1,457696391

300,(2006),117,"['Action', 'Drama']",7.6,456082343

The Last Samurai,(2003),154,"['Action', 'Drama']",7.8,454627263

Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117,"['Animation', 'Action', 'Adventure']",8.2,453210959

Wo bu shi yao shen,(2018),117,"['Comedy', 'Drama']",7.8,451183391

Ocean's Eleven,(2001),116,"['Crime', 'Thriller']",7.7,450717150

Wo he wo de zu guo,(2019),154,"['Drama', 'History']",6.3,450064993

Thor,(2011),115,"['Action', 'Fantasy']",7,449326618

Pearl Harbor,(2001),183,"['Action', 'Drama', 'History']",6.2,449220945

Tarzan,(1999),88,"['Animation', 'Adventure', 'Comedy']",7.3,448191819

Men in Black II,(2002),88,"['Action', 'Adventure', 'Comedy']",6.2,445135288

The Bourne Ultimatum,(2007),115,"['Action', 'Mystery', 'Thriller']",8,444100035

The Mummy Returns,(2001),130,"['Action', 'Adventure', 'Fantasy']",6.4,443280904

Alvin and the Chipmunks: The Squeakquel,(2009),88,"['Animation', 'Adventure', 'Comedy']",4.5,443140005

Les Misérables,(2012),158,"['Drama', 'Musical', 'Romance']",7.5,442299309

The Exorcist,(1973),122,['Horror'],8.1,441306145

Mrs. Doubtfire,(1993),125,"['Comedy', 'Drama']",7.1,441286195

Terminator Genisys,(2015),126,"['Action', 'Adventure', 'Sci-Fi']",6.3,440603537

Warcraft,(2016),123,"['Action', 'Adventure', 'Fantasy']",6.7,439048914

A Star Is Born,(2018),136,"['Drama', 'Music', 'Romance']",7.6,436233122

The Greatest Showman,(2017),105,"['Biography', 'Drama', 'Musical']",7.5,435732529

Terminator 3: Rise of the Machines,(2003),109,"['Action', 'Sci-Fi']",6.3,433371112

Pokémon: Detective Pikachu,(2019),104,"['Action', 'Adventure', 'Comedy']",6.5,433230304

Shang-Chi and the Legend of the Ten Rings,(2021),132,"['Action', 'Adventure', 'Fantasy']",7.4,432243292

Die Another Day,(2002),133,"['Action', 'Adventure', 'Thriller']",6.1,431971116

The Secret Life of Pets 2,(2019),86,"['Animation', 'Adventure', 'Comedy']",6.4,431058415

Cast Away,(2000),143,"['Adventure', 'Drama', 'Romance']",7.8,429632142

Rampage,(2018),107,"['Action', 'Adventure', 'Sci-Fi']",6.1,428028233

The King's Speech,(2010),118,"['Biography', 'Drama', 'History']",8,427374317

The Matrix Revolutions,(2003),129,"['Action', 'Sci-Fi']",6.7,427344325

The Intouchables,(2011),112,"['Biography', 'Comedy', 'Drama']",8.5,426588510

Bad Boys for Life,(2020),124,"['Action', 'Comedy', 'Crime']",6.5,426505244

Django Unchained,(2012),165,"['Drama', 'Western']",8.4,426074373

Beauty and the Beast,(1991),84,"['Animation', 'Family', 'Fantasy']",8,424967620

Dances with Wolves,(1990),181,"['Adventure', 'Drama', 'Western']",8,424208848

